postcode,westminster_constituency
AB10 1,S14000002
AB10 6,S14000002
AB10 7,S14000002
AB11 5,S14000001
AB11 6,S14000002
AB11 7,S14000002
AB11 8,S14000002
AB11 9,S14000002
AB12 3,S14000002
AB12 4,S14000058
AB12 5,S14000002
AB12 9,S14000002
AB13 0,S14000002
AB14 0,S14000002
AB15 4,S14000002
AB15 5,S14000001
AB15 6,S14000002
AB15 7,S14000002
AB15 8,S14000002
AB15 9,S14000002
AB16 5,S14000001
AB16 6,S14000001
AB16 7,S14000001
AB16 9,S14000001
AB21 0,S14000037
AB21 1,S14000037
AB21 7,S14000037
AB21 9,S14000037
AB22 8,S14000037
AB22 9,S14000037
AB23 8,S14000001
AB23 9,S14000037
AB24 1,S14000001
AB24 2,S14000001
AB24 3,S14000001
AB24 4,S14000001
AB24 5,S14000001
AB25 1,S14000002
AB25 2,S14000002
AB25 3,S14000001
AB25 9,S14000001
AB30 1,S14000058
AB30 9,S14000058
AB31 4,S14000058
AB31 5,S14000058
AB31 6,S14000058
AB31 9,S14000058
AB32 6,S14000058
AB32 7,S14000058
AB32 9,S14000058
AB33 8,S14000058
AB34 4,S14000058
AB34 5,S14000058
AB35 5,S14000058
AB36 8,S14000058
AB37 9,S14000046
AB38 7,S14000046
AB38 9,S14000046
AB39 2,S14000058
AB39 3,S14000058
AB39 8,S14000058
AB39 9,S14000058
AB41 1,S14000037
AB41 6,S14000037
AB41 7,S14000037
AB41 8,S14000007
AB41 9,S14000037
AB42 0,S14000007
AB42 1,S14000007
AB42 2,S14000007
AB42 3,S14000007
AB42 4,S14000007
AB42 5,S14000007
AB42 9,S14000007
AB43 6,S14000007
AB43 7,S14000007
AB43 8,S14000007
AB43 9,S14000007
AB44 1,S14000007
AB45 1,S14000007
AB45 2,S14000007
AB45 3,S14000007
AB51 0,S14000037
AB51 1,S14000037
AB51 3,S14000037
AB51 4,S14000037
AB51 5,S14000037
AB51 6,S14000037
AB51 7,S14000058
AB51 8,S14000007
AB52 6,S14000037
AB53 4,S14000007
AB53 5,S14000007
AB53 6,S14000007
AB53 8,S14000007
AB53 9,S14000007
AB54 4,S14000037
AB54 6,S14000037
AB54 7,S14000007
AB54 8,S14000037
AB54 9,S14000037
AB55 4,S14000046
AB55 5,S14000046
AB55 6,S14000046
AB56 1,S14000046
AB56 4,S14000046
AB56 5,S14000046
AB56 9,S14000046
AB99 8,S14000002
AL1 1,E14000960
AL1 2,E14000960
AL1 3,E14000960
AL1 4,E14000960
AL1 5,E14000960
AL1 9,E14000960
AL10 0,E14001027
AL10 1,E14001027
AL10 8,E14001027
AL10 9,E14001027
AL2 1,E14000960
AL2 2,E14000960
AL2 3,E14000960
AL3 4,E14000960
AL3 5,E14000960
AL3 6,E14000960
AL3 7,E14000749
AL3 8,E14000739
AL4 0,E14000960
AL4 8,E14000749
AL4 9,E14000960
AL5 1,E14000749
AL5 2,E14000749
AL5 3,E14000749
AL5 4,E14000749
AL5 5,E14000749
AL5 9,E14000960
AL6 0,E14001027
AL6 9,E14001027
AL7 1,E14001027
AL7 2,E14001027
AL7 3,E14001027
AL7 4,E14001027
AL7 9,E14001027
AL8 6,E14001027
AL8 7,E14001027
AL9 5,E14001027
AL9 6,E14000845
AL9 7,E14001027
B1 1,E14000564
B1 2,E14000564
B1 3,E14000564
B10 0,E14000564
B10 9,E14000563
B11 1,E14000562
B11 2,E14000568
B11 3,E14000562
B11 4,E14000562
B11 9,E14000568
B12 0,E14000564
B12 8,E14000562
B12 9,E14000562
B13 0,E14000567
B13 3,E14000567
B13 8,E14000562
B13 9,E14000562
B14 4,E14000567
B14 5,E14000567
B14 6,E14000567
B14 7,E14000562
B15 1,E14000564
B15 2,E14000560
B15 3,E14000560
B16 0,E14000564
B16 6,E14000564
B16 8,E14000564
B16 9,E14000560
B17 0,E14000560
B17 8,E14000560
B17 9,E14000560
B18 4,E14000564
B18 5,E14000564
B18 6,E14000564
B18 7,E14000564
B18 9,E14000564
B19 1,E14000566
B19 2,E14000564
B19 3,E14000564
B2 2,E14000564
B2 4,E14000564
B2 5,E14000564
B20 1,E14000566
B20 2,E14000566
B20 3,E14000566
B21 0,E14000564
B21 1,E14000566
B21 8,E14000566
B21 9,E14000566
B23 3,E14000561
B23 5,E14000561
B23 6,E14000561
B23 7,E14000561
B24 0,E14000561
B24 8,E14000561
B24 9,E14000561
B25 8,E14000568
B25 9,E14000568
B26 1,E14000568
B26 2,E14000568
B26 3,E14000568
B27 6,E14000568
B27 7,E14000568
B28 0,E14000562
B28 1,E14000562
B28 8,E14000562
B28 9,E14000562
B29 4,E14000565
B29 5,E14000565
B29 6,E14000567
B29 7,E14000567
B29 9,E14000567
B3 1,E14000564
B3 2,E14000564
B3 3,E14000564
B30 1,E14000567
